Identifier,UniqueId,Name,Description,ReferencePointPeriods_0_StandardIdentifier,ReferencePointPeriods_0_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_0_ValidFrom,ReferencePointPeriods_0_Unit,ReferencePointPeriods_0_Elevation,ReferencePointPeriods_0_Uncertainty,ReferencePointPeriods_0_MeasurementDirection,ReferencePointPeriods_0_AppliedTime,ReferencePointPeriods_0_AppliedByUser,PrimarySinceDate,ReferencePointPeriods_0_Comment,ReferencePointPeriods_1_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_1_ValidFrom,ReferencePointPeriods_1_Unit,ReferencePointPeriods_1_Elevation,ReferencePointPeriods_1_MeasurementDirection,ReferencePointPeriods_1_AppliedTime,ReferencePointPeriods_1_AppliedByUser,Latitude,Longitude,ReferencePointPeriods_0_Method,DecommissionedDate,DecommissionedReason,ReferencePointPeriods_1_StandardIdentifier,ReferencePointPeriods_1_Comment,DisplayOrder
000002,515e18dfa0644931aff99291f2ad0ee3,Ref point is 0.5ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.5,,FromBottomToTop,2021-04-30T22:42:44.5600720+00:00,admin,,,,,,,,,,,,,,,,,
000002,5339f4841783480a8a0a088f0ad3aeaa,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:44.7802190+00:00,admin,,,,,,,,,,,,,,,,,
000004,44781045c8db41b0acd340cd285366e1,Ref point is 0.7ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.7,,FromBottomToTop,2021-04-30T22:42:44.7999680+00:00,admin,,,,,,,,,,,,,,,,,
000004,4d391988c2d54e0da6f86ab9d28a0478,Ref point is 0.95ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.95,,FromBottomToTop,2021-04-30T22:42:44.8179290+00:00,admin,,,,,,,,,,,,,,,,,
000004,279df0ea0800445fbf695f0e0e506401,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:44.8348980+00:00,admin,,,,,,,,,,,,,,,,,
000004,95038b94bf6345b69850ccebf51bbd3a,NAVD88 0ft,,NAVD88,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:44:59.8562510+00:00,admin,,,,,,,,,,,,,,,,,
000004,1e08c55b88dc43408983ad6792018b55,TO hole on edge on PVC cap,same as Ref point is 0.95ft above LSD,NAVD88,FALSE,2021-01-01T00:00:00.0000000+00:00,ft,8.85,,FromBottomToTop,2021-05-10T19:18:13.4824850+00:00,admin,,,,,,,,,,,,,,,,,1
000007,8adeb36068ba431b8d7979d873d76c98,Ref point is 0.5ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.5,,FromBottomToTop,2021-04-30T22:42:44.8540500+00:00,admin,,,,,,,,,,,,,,,,,
000008,ec5c11b13a3247668c875ddccae3e28f,Ref point is 0.6ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.6,,FromBottomToTop,2021-04-30T22:42:44.8727282+00:00,admin,,,,,,,,,,,,,,,,,
000009,9ede24dd1f6c4fe9bb1fb1947f237dd6,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:44.8922278+00:00,admin,,,,,,,,,,,,,,,,,
000011,717d84b93b2d4b6fa77276a6d54b859b,Ref point is 0.25ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.25,,FromBottomToTop,2021-04-30T22:42:44.9130750+00:00,admin,,,,,,,,,,,,,,,,,
000011,3dab26c5ae064c7aa2a852c74928d40d,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:44.9289100+00:00,admin,,,,,,,,,,,,,,,,,
000013,da12893672b946a996022c793bb9f4a9,Ref point is 2ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2,,FromBottomToTop,2021-04-30T22:42:44.9467260+00:00,admin,,,,,,,,,,,,,,,,,
000013,89fdd32d5d824f16919a8c6cf3dd574b,Ref point is 7ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,7,,FromBottomToTop,2021-04-30T22:42:44.9626780+00:00,admin,,,,,,,,,,,,,,,,,
000014,857f8e0a3734423c8c051bee8c594b08,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:44.9820690+00:00,admin,,,,,,,,,,,,,,,,,
000016,65bc0593d6cc4c16a2ccf85ca3eff738,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.0000620+00:00,admin,,,,,,,,,,,,,,,,,
000017,3249135701ac464b9aae91c5980dfa96,Ref point is 1ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1,,FromBottomToTop,2021-04-30T22:42:45.0310568+00:00,admin,,,,,,,,,,,,,,,,,
000018,6b9421622d0346ee855e3c59cbacdf3f,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.0680420+00:00,admin,,,,,,,,,,,,,,,,,
000019,f495b349d84e45d4ac9f047887f5b5e7,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.1003790+00:00,admin,,,,,,,,,,,,,,,,,
000019,34fc581c17884aa6b3f4e68a4bd966a7,Ref point is 1ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1,,FromBottomToTop,2021-04-30T22:42:45.1469300+00:00,admin,,,,,,,,,,,,,,,,,
