name,label,elevation,active,display,globalid,locationname,locationmpname
TO 2 inch PVC casing,TO 2 inch PVC casing,271.78,Yes,,{13A38D61-D5CC-4D58-8546-C44460211565},NWFWMD-SAND HILL TOWER DEEP,NWFWMD-SAND HILL TOWER DEEP - TO 2 inch PVC casing
Bottom edge of 2 inch access pipe N side,Bottom edge of 2 inch access pipe N side,145.07,Yes,,{644EB09A-ECA1-4B96-96E6-7117EC4F360F},EAST MILTON #3/MILLERS BLUFF RD.,EAST MILTON #3/MILLERS BLUFF RD. - Bottom edge of 2 inch access pipe N side
Ch Square on wing wall,Ch Square on wing wall,78.3,Yes,,{27B89704-BE68-462F-83A3-6F3B43EA052B},MERRITTS MILL POND @ US 90,MERRITTS MILL POND @ US 90 - Ch Square on wing wall
Top of marked 1.5 inch Alum pipe attached to transducer,Top of marked 1.5 inch Alum pipe attached to transducer,82.49,Yes,,{BF00AEB0-C2F1-4A6A-B9DB-42E1C87F671A},MERRITTS MILL POND @ US 90,MERRITTS MILL POND @ US 90 - Top of marked 1.5 inch Alum pipe attached to transducer
TO 2 inch PVC casing,TO 2 inch PVC casing,21.68,Yes,,{D54ACA32-DDD7-4B3D-9954-10DA265C491C},NWFWMD THS-4,NWFWMD THS-4 - TO 2 inch PVC casing
Plug hole on side of turbine,Plug hole on side of turbine,217.21,Yes,,{AE82B3ED-E498-442C-97CB-06E20457BE53},MUNSON NURSERY,MUNSON NURSERY - Plug hole on side of turbine
Top of sanitary seal,Top of sanitary seal,11.2,Yes,,{8BE52E58-28C2-4A4D-9E11-6B4EC504A8D8},EAFB ISL NCO #71,EAFB ISL NCO #71 - Top of sanitary seal
Top of Extension,Top of Extension,169.37,Yes,,{D85CB57C-44C6-48C4-AD76-AAB7FD2A1A80},FAF #93,FAF #93 - Top of Extension
TO threaded pipe,TO threaded pipe,325.58,Yes,,{3F25215A-C2EF-429C-A350-0B455B89A401},PAXTON WELCOME CENTER,PAXTON WELCOME CENTER - TO threaded pipe
Staff on platform,Staff on platform,76.0,Yes,,{2B0E0529-198C-43A8-A080-4D1B9534BAD8},Lake Jackson - Miller Landing Road,Lake Jackson - Miller Landing Road - Staff on platform
TO casing below concrete slab,TO casing below concrete slab,118.46,Yes,,{D6D8F9EE-AA5A-4228-9C28-666273E8518E},NWFWMD-9 MILE ROAD DEEP/S674,NWFWMD-9 MILE ROAD DEEP/S674 - TO casing below concrete slab
TO 6 inch threaded casing,TO 6 inch threaded casing,187.22,Yes,,{349289FC-2832-41E5-98FA-43E3C8C13666},CITY OF TALLAHASSEE / LAFAYETTE PARK,CITY OF TALLAHASSEE / LAFAYETTE PARK - TO 6 inch threaded casing
Ch square,Ch square,29.78,Yes,,{C7834A62-E2D6-459F-A0E0-126E08F0570F},TELOGIA CRK @ CR65D,TELOGIA CRK @ CR65D - Ch square
Ch Square on rail left of station,Ch Square on rail left of station,88.74,Yes,,{EC024E87-CA82-4C21-BEEF-F10E99A6DC9F},Lake Miccosukee @ US90 Outfall,Lake Miccosukee @ US90 Outfall - Ch Square on rail left of station
TO 4 inch PVC casing,TO 4 inch PVC casing,203.25,Yes,,{99424EB0-5F4B-4454-B8B9-43C1F6B89534},NWFWMD-HQ FLORIDAN OBS/S704,NWFWMD-HQ FLORIDAN OBS/S704 - TO 4 inch PVC casing
Ch Square,Ch Square,9.5,Yes,,{2D2A5ECE-CA3F-46C4-A628-1156A846DC2A},Crooked River @ CR 67,Crooked River @ CR 67 - Ch Square
TO 2 inch PVC casing,TO 2 inch PVC casing,19.6,Yes,1.0,{7787D002-143A-4A8D-8FAF-A0F33F522A8A},NWFWMD-PORT ST JOE MEDIUM SHALLOW,NWFWMD-PORT ST JOE MEDIUM SHALLOW - TO 2 inch PVC casing
Ch Square closest to staff,Ch Square closest to staff,4.57,Yes,,{509335DE-2630-4195-B663-03116997202C},"DEER PT LK, NR DAM","DEER PT LK, NR DAM - Ch Square closest to staff"
Ch Square far side of LB,Ch Square far side of LB,4.56,Yes,,{CF8BD618-70C5-453E-8D7B-C79E020B8B1B},"DEER PT LK, NR DAM","DEER PT LK, NR DAM - Ch Square far side of LB"
Staff,Staff,-10.0,Yes,,{61058A4B-3C1F-4447-8434-99528809BB1C},"DEER PT LK, NR DAM","DEER PT LK, NR DAM - Staff"
Metal pipe below conduit- under water,Metal pipe below conduit- under water,10.0,Yes,,{9D96267F-CBD0-4211-9903-DD0968D117EE},GARNIER CREEK @ BLUE BARNES RD/S581,GARNIER CREEK @ BLUE BARNES RD/S581 - Metal pipe below conduit- under water
Hole in TO sanitary seal,Hole in TO sanitary seal,13.78,Yes,,{E9DB9D5B-5970-4E86-ABDC-9EF64D341429},LARRY PLANK FLORIDAN PRODUCTION #2,LARRY PLANK FLORIDAN PRODUCTION #2 - Hole in TO sanitary seal
Staff,Staff,0.0,Yes,,{DAFCD0E2-962E-45A6-B9A9-49427891D817},LAKE BRADFORD,LAKE BRADFORD - Staff
TO 2 inch PVC casing,TO 2 inch PVC casing,13.8,Yes,,{5656ACB3-A039-4698-8F15-59295971EE89},FRUS PIEZOMETER #1A/DRISKELL,FRUS PIEZOMETER #1A/DRISKELL - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,221.83,Yes,,{4EF845E6-B18F-441C-9B4A-8F07F9E5F21D},NWFWMD-ESTO FLORIDAN,NWFWMD-ESTO FLORIDAN - TO 4 inch PVC casing
