name,label,locationname,elevation,locationglobalid,active,display,locationmpname
Staff,Staff,*** ECONFINA CREEK ABOVE GAINER***,10,{AE0A3D2B-5AF7-4C38-966D-3170ADC687A0},Yes,1,*** ECONFINA CREEK ABOVE GAINER*** - Staff
High Water Nail in Tree,High Water Nail in Tree,*** ECONFINA CREEK ABOVE GAINER***,27.16,{165273F3-E48B-4937-BCF8-92C8E9206911},Yes,2,*** ECONFINA CREEK ABOVE GAINER*** - High Water Nail in Tree
Top of Staff,Top of Staff,*** ECONFINA CREEK ABOVE GAINER***,19.7,{C8EDC800-E7B0-427C-B60F-8500DA810158},Yes,3,*** ECONFINA CREEK ABOVE GAINER*** - Top of Staff
TO 4 inch PVC casing,TO 4 inch PVC casing,*** PITTMAN VISA WELL***,128.76,{A7DFFC35-C41B-456E-8C57-4E74E96A31A8},Yes,1,*** PITTMAN VISA WELL*** - TO 4 inch PVC casing
Top of lock rim,Top of lock rim,***2 EGG AMBIENT #3***,123.19,{C0B31848-A536-443E-80A7-32A2AF630778},Yes,1,***2 EGG AMBIENT #3*** - Top of lock rim
Staff,Staff,***ECONFINA CREEK @ SR20***,0,{4A89AE60-8550-4A4D-BA9F-DABC7CEF2623},Yes,1,***ECONFINA CREEK @ SR20*** - Staff
Ch Square- left of station box,Ch Square- left of station box,***ECONFINA CREEK @ SR20***,17.51,{2CEB26F0-B592-4B6E-A910-7D6CDA7F905C},Yes,2,***ECONFINA CREEK @ SR20*** - Ch Square- left of station box
Staff,Staff,***ECONFINA CREEK AT WALSINGHAM BRIDGE***,0,{326C2A4E-E274-4A1C-9056-3C8DCF195027},Yes,1,***ECONFINA CREEK AT WALSINGHAM BRIDGE*** - Staff
Staff,Staff,***ECONFINA CREEK BELOW GAINER***,10,{85E5F521-6F78-44CD-B286-084EBDF6F0C3},Yes,1,***ECONFINA CREEK BELOW GAINER*** - Staff
1st 2 inch galvanized pipe,1st 2 inch galvanized pipe,***ECONFINA CREEK BELOW GAINER***,14.95,{B8D8542A-3E3C-4772-A22E-9CA19239F76C},Yes,2,***ECONFINA CREEK BELOW GAINER*** - 1st 2 inch galvanized pipe
2nd 2 inch galvanized pipe,2nd 2 inch galvanized pipe,***ECONFINA CREEK BELOW GAINER***,12.95,{89E9B229-F9D8-419B-BA63-D44A313B6142},Yes,3,***ECONFINA CREEK BELOW GAINER*** - 2nd 2 inch galvanized pipe
High Water Nail in Tree,High Water Nail in Tree,***ECONFINA CREEK BELOW GAINER***,26.94,{5F59C334-7D77-49BE-9666-62326B268AA3},Yes,4,***ECONFINA CREEK BELOW GAINER*** - High Water Nail in Tree
