name,label,locationname,elevation,locationglobalid,active,display,locationmpname
MP mark at hole on edge of 6 inch PVC cap,MP mark at hole on edge of 6 inch PVC cap,EAFB,8.85,{2BD1676B-2BA4-4470-9B32-DA4F0D92FC0B},Yes,1,EAFB - MP mark at hole on edge of 6 inch PVC cap
TO Stand pipe with nipple REMOVED,TO Stand pipe with nipple REMOVED,McCulloch,9.4,{A966E4F5-DF90-4C1C-B5CD-AC0389ABE8A8},Yes,,McCulloch - TO Stand pipe with nipple REMOVED
Stand pipe screwed into vent hole with nipple,Stand pipe screwed into vent hole with nipple,McCulloch,9.56,{3C869EE7-A94A-4EC9-ACF3-B7B8CD54752D},Yes,,McCulloch - Stand pipe screwed into vent hole with nipple
TO protective casing,TO protective casing,McCulloch,8.92,{D795226C-49AE-4D05-B449-256EF4513914},Yes,1,McCulloch - TO protective casing
TO 4 inch threaded PVC casing,TO 4 inch threaded PVC casing,Green Point Floridan,18.95,{BEA81848-5C31-452F-8C4A-936754D087C8},Yes,1,Green Point Floridan - TO 4 inch threaded PVC casing
TO 2 inch threaded PVC casing,TO 2 inch threaded PVC casing,Green Point Intermediate,19.24,{64F646E3-63DC-453E-9C22-205B3A1BD5A6},Yes,1,Green Point Intermediate - TO 2 inch threaded PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Green Point Shallow,20,{E8C72862-9829-4679-8A21-B9D4E22DE2E4},Yes,1,Green Point Shallow - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Port St. Joe Floridan,18.75,{69B4AFB8-C298-4724-9497-47FE5AE11D93},Yes,1,Port St. Joe Floridan - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Deep Int,19.1,{49A4AE69-FC9B-48DB-BC90-AF3BF754F0E8},Yes,1,Port St Joe Deep Int - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Port St Joe Shallow Int,19.05,{3F2B45A0-B79C-458D-A020-996FC03C75B8},Yes,1,Port St Joe Shallow Int - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Port St Joe Surficial,19.89,{24EC5F61-71C8-48DC-AC49-A949AD16FCB3},Yes,1,Port St Joe Surficial - TO 2 inch PVC casing
